id,title,type,release_year,runtime,genres,imdb_score
tm74780,The Bucket List,MOVIE,2007,97,"['drama', 'comedy', 'european']",7.4
ts30356,Octonauts,SHOW,2010,15,"['action', 'animation', 'comedy', 'family']",7.6
ts32186,Sonic X,SHOW,2003,21,"['family', 'animation', 'action', 'comedy', 'drama', 'thriller', 'fantasy', 'scifi']",6.2
tm24088,Scary Movie 4,MOVIE,2006,83,"['comedy', 'horror']",5.1
tm111600,The Sweetest Thing,MOVIE,2002,84,"['comedy', 'romance']",5.1
tm88045,How Do You Know,MOVIE,2010,121,"['comedy', 'drama', 'romance']",5.4
tm78919,Mr. Bean's Holiday,MOVIE,2007,90,"['family', 'comedy', 'european']",6.4
tm173066,The Interpreter,MOVIE,2005,128,"['thriller', 'crime', 'european']",6.4
tm118637,John Q,MOVIE,2002,116,"['drama', 'thriller', 'crime']",7.0
tm142564,3 Idiots,MOVIE,2009,170,"['drama', 'comedy']",8.4
tm57190,The One,MOVIE,2001,87,"['thriller', 'action', 'scifi']",5.9
ts21706,H2O: Just Add Water,SHOW,2006,25,"['scifi', 'drama', 'family', 'fantasy']",7.2
